address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
3 Ardmore RD West Roxbury 02132,West Roxbury,2132,42.29009,-71.14798,263
299 to 303 Meridian ST East Boston 02128,East Boston,2128,42.37704,-71.03897,264
338 to 344 Sumner ST East Boston 02128,East Boston,2128,,,265
10 E Cottage ST Roxbury 02119,Roxbury,2119,,,266
22R Perrin ST Roxbury 02119,Roxbury,2119,,,267
22R Perrin ST Roxbury 02119,Roxbury,2119,,,268
496 to 500 Talbot AV Dorchester 02124,Dorchester,2124,,,269
69 Readville St Hyde Park 02136,Hyde Park,2136,,,270
821 Cummins HWY Mattapan 02126,Mattapan,2126,,,271
50 B ST 7 South Boston 02127,South Boston,2127,42.33975,-71.05547,272
7 Elwyn RD Dorchester 02124,Dorchester,2124,42.295538,-71.07404,273
1677 to 1679 Washington ST Roxbury 02118,Roxbury,2118,42.337677,-71.075744,274
24 Dry Dock AV Boston 02210,Boston,2210,,,275
1523 to 1525 Blue Hill Av Mattapan 02126,Mattapan,2126,,,276
95 Greenwood ST Dorchester 02121,Dorchester,2121,42.2986,-71.08001,277
51 Fairbanks ST Brighton 02135,Brighton,2135,42.35076,-71.1627,278
509 E Fifth ST South Boston 02127,South Boston,2127,,,279
77 to 79 Litchfield ST Brighton 02135,Brighton,2135,,,280
16R Mather ST Dorchester 02124,Dorchester,2124,,,281
1 Woodville ST Roxbury 02119,Roxbury,2119,42.3207,-71.07532,282
79 Devon ST Dorchester 02121,Dorchester,2121,42.309666,-71.07962,283
16 Mather ST Dorchester 02124,Dorchester,2124,42.29442,-71.06318,284
340 W Second ST South Boston 02127,South Boston,2127,,,285
1260 Boylston ST Boston 02215,Boston,2215,,,286
28 Clifton St Roxbury 02119,Roxbury,2119,42.32259,-71.07041,287
521 Cambridge St Allston 02134,Allston,2134,,,288
60 Oakridge St Mattapan 02126,Mattapan,2126,,,289
7 to 7G Sunnyside St Hyde Park 02136,Hyde Park,2136,,,290
229 to 233 Bowdoin ST Dorchester 02122,Dorchester,2122,,,291
47 to 49 Owencroft RD Dorchester 02124,Dorchester,2124,42.28088,-71.069399,292
109 Rutherford AV Charlestown 02129,Charlestown,2129,,,293
46 Montgomery ST Roxbury 02116,Roxbury,2116,42.34355,-71.07346,294
993 to 997 Hyde Park AV Hyde Park 02136,Hyde Park,2136,,,295
753 American Legion HW Roslindale 02131,Roslindale,2131,,,296
621 E Second ST South Boston 02127,South Boston,2127,,,297
22 Rockview ST Jamaica Plain 02130,Jamaica Plain,2130,42.315624,-71.108991,298
80 Pleasant ST Dorchester 02125,Dorchester,2125,,,299
87 Morris ST East Boston 02128,East Boston,2128,42.376696,-71.031518,300
247 Shawmut AVE Roxbury 02118,Roxbury,2118,42.343629,-71.068378,301
247 to 251 Hancock ST Dorchester 02122,Dorchester,2122,,,302
87 Morris ST East Boston 02128,East Boston,2128,42.376696,-71.031518,303
27 Russell ST Charlestown 02129,Charlestown,2129,42.37961,-71.0654,304
6 Essex ST Charlestown 02129,Charlestown,2129,42.378967,-71.069772,305
1320 Dorchester Av Dorchester 02122,Dorchester,2122,42.30563,-71.05856,306
15 Revere ST Boston 02114,Boston,2114,42.359672,-71.066722,307
9 Taylor ST Roxbury 02118,Roxbury,2118,42.3439,-71.06861,308
2 Park PLZ Boston 02116,Boston,2116,42.35225,-71.06711,309
500 Boylston ST Boston 02116,Boston,2116,,,310
540 Commonwealth AVE Boston 02215,Boston,2215,,,311
222 Bowen ST South Boston 02127,South Boston,2127,42.33571,-71.05031,312
164 Savin Hill AVE Dorchester 02125,Dorchester,2125,42.31005,-71.05108,313
44 Blenford RD Brighton 02135,Brighton,2135,42.34502,-71.15027,314
105 Chelsea ST East Boston 02128,East Boston,2128,42.37245,-71.035493,315
17 Marshfield St Roxbury 02119,Roxbury,2119,,,316
16R to 16RA Howe ST Dorchester 02125,Dorchester,2125,,,317
841 Columbia RD Dorchester 02125,Dorchester,2125,,,318
799 Columbia RD Dorchester 02125,Dorchester,2125,42.320275,-71.057062,319
1015 Hyde Park AV Hyde Park 02136,Hyde Park,2136,,,320
16 Howe ST Dorchester 02125,Dorchester,2125,,,321
2 Mead Street CT Charlestown 02129,Charlestown,2129,,,322
526 E Seventh ST South Boston 02127,South Boston,2127,,,323
361 Belgrade AV Roslindale 02132,Roslindale,2132,,,324
175 to 175B School St Roxbury 02119,Roxbury,2119,,,325
84 Chelsea ST East Boston 02128,East Boston,2128,42.3721,-71.03656,326
28A Ridlon Rd Mattapan 02126,Mattapan,2126,,,327
16 Lyall ST West Roxbury 02132,West Roxbury,2132,42.29007,-71.16282,328
246 Havre St East Boston 02128,East Boston,2128,,,329
964 Bennington ST East Boston 02128,East Boston,2128,,,330
17 Waldemar AVE East Boston 02128,East Boston,2128,42.39061,-70.99899,331
246 Havre St East Boston 02128,East Boston,2128,,,332
96 Prince St Boston 02113,Boston,2113,,,333
96 Prince St Boston 02113,Boston,2113,,,334
98 Prince St Boston 02113,Boston,2113,,,335
78 Rutland ST Roxbury 02118,Roxbury,2118,42.340425,-71.077003,336
243C Savin Hill AV Dorchester 02125,Dorchester,2125,,,337
169 Maverick ST East Boston 02128,East Boston,2128,,,338
304 Paris St East Boston 02128,East Boston,2128,,,339
9 Ashfield ST Roslindale 02131,Roslindale,2131,42.29002,-71.13007,340
619 Massachusetts AVE Roxbury 02118,Roxbury,2118,42.33682,-71.077796,341
361 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,,,342
2 Fourth Street PL South Boston 02127,South Boston,2127,,,343
48 Intervale St Dorchester 02121,Dorchester,2121,,,344
10 Melville AVE Dorchester 02124,Dorchester,2124,42.29414,-71.07027,345
244 L St South Boston 02127,South Boston,2127,,,346
1439 Tremont St Mission Hill 02120,Mission Hill,2120,,,347
114 to 122 Harvard St Dorchester 02124,Dorchester,2124,,,348
18 to 24 Standish St Dorchester 02124,Dorchester,2124,42.287842,-71.072343,349
820 Hyde Park AV Hyde Park 02136,Hyde Park,2136,42.27212,-71.11985,350
4 to 6 Alcott ST Allston 02134,Allston,2134,42.35794,-71.13155,351
1448 to 1454 Dorchester AVE Dorchester 02122,Dorchester,2122,,,352
331 to 339 Northern AV Boston 02210,Boston,2210,,,353
3 Cedar Sq Roxbury 02119,Roxbury,2119,,,354
604 Metropolitan Av Hyde Park 02136,Hyde Park,2136,,,355
370 Vermont ST West Roxbury 02132,West Roxbury,2132,,,356
210 Roslindale AVE Roslindale 02131,Roslindale,2131,42.28076,-71.138,357
9 Flavia ST Dorchester 02122,Dorchester,2122,,,358
330 C ST South Boston 02127,South Boston,2127,,,359
344 Bremen St East Boston 02128,East Boston,2128,,,360
351 Vermont ST West Roxbury 02132,West Roxbury,2132,42.285101,-71.169205,361
556 E Broadway South Boston 02127,South Boston,2127,,,362
247 Willow ST West Roxbury 02132,West Roxbury,2132,42.29413,-71.15743,363
251 to 255 W Third St South Boston 02127,South Boston,2127,,,364
82 Baxter ST South Boston 02127,South Boston,2127,,,365
82 Baxter ST South Boston 02127,South Boston,2127,,,366
55 Monadnock ST Dorchester 02125,Dorchester,2125,42.31541,-71.06955,367
59 Bellevue Hill RD West Roxbury 02132,West Roxbury,2132,42.27723,-71.14372,368
277 to 279 Roslindale AVE Roslindale 02131,Roslindale,2131,,,369
1789 Commonwealth AVE Brighton 02135,Brighton,2135,42.340828,-71.151387,370
10 Saint Margaret ST Dorchester 02125,Dorchester,2125,42.32236,-71.06037,371
1 to 3 Lyford St Dorchester 02124,Dorchester,2124,,,372
38 Lexington ST East Boston 02128,East Boston,2128,,,373
713 to 715 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,,,374
440 Tremont ST Roxbury 02116,Roxbury,2116,42.346646,-71.068925,375
450 Tremont ST Roxbury 02118,Roxbury,2118,,,376
38 Lexington ST East Boston 02128,East Boston,2128,,,377
250 Pond ST Jamaica Plain 02130,Jamaica Plain,2130,42.31182,-71.1242,378
36 Orient Av East Boston 02128,East Boston,2128,,,379
40 Orient AVE East Boston 02128,East Boston,2128,42.389783,-71.000712,380
889 Dorchester AV Dorchester 02125,Dorchester,2125,42.319973,-71.057,381
244 L St South Boston 02127,South Boston,2127,,,382
40 Orient AVE East Boston 02128,East Boston,2128,42.389783,-71.000712,383
18 Rutland SQ Roxbury 02118,Roxbury,2118,42.34142,-71.07814,384
465 E Eighth ST South Boston 02127,South Boston,2127,,,385
29 to 33 Edinboro ST Boston 02111,Boston,2111,,,386
95 Everett St Allston 02134,Allston,2134,,,387
9 Armory St Charlestown 02129,Charlestown,2129,,,388
149 Lexington ST East Boston 02128,East Boston,2128,42.378712,-71.034197,389
4 Leroy ST Dorchester 02122,Dorchester,2122,,,390
133 W Concord ST Roxbury 02118,Roxbury,2118,42.33973,-71.07677,391
44 Brooks ST East Boston 02128,East Boston,2128,42.376039,-71.0327,392
79 Aldrich ST Roslindale 02131,Roslindale,2131,42.284109,-71.141905,393
76 Frankfort ST East Boston 02128,East Boston,2128,42.371051,-71.034084,394
13 Norwood St Dorchester 02122,Dorchester,2122,,,395
100 Swift ST East Boston 02128,East Boston,2128,,,396
3 Fourth Street PL South Boston 02127,South Boston,2127,,,397
3 to 5 Thatcher ST Hyde Park 02136,Hyde Park,2136,42.26592,-71.12029,398
32 to 34 Larch ST Brighton 02135,Brighton,2135,,,399
101 Chestnut ST Boston 02108,Boston,2108,42.356699,-71.072283,400
761 E Broadway South Boston 02127,South Boston,2127,,,401
